"Time","CAL? 72","CAL? 175"
1650968915000,0.9869138,38.1512207
1650972519000,0.98691381,38.2557801
1650976129000,0.98691382,38.2346144
1650979723000,0.9869139,38.4289478
1650983325000,0.98691395,38.5790758
1650986929000,0.98691395,38.6252332
1650990539000,0.98691391,38.5256301
1650994133000,0.98691388,38.3714513
1650997735000,0.98691386,undefined
1650997736000,undefined,38.428943
1651001339000,0.98691379,38.2575758
1651004949000,0.98691386,38.3210804
1651008541000,0.98691384,38.1974568
1651012141000,0.98691363,37.9056128
1651015741000,0.98691352,37.6136915
1651019341000,0.98691343,37.3445272
1651022941000,0.98691333,37.0998922
1651026541000,0.9869133,36.8788422
1651030141000,0.98691313,36.6188988
1651033741000,0.98691306,36.3838761
1651041171000,0.98691341,37.1442568
1651044774000,0.98691367,37.8414339
1651048384000,0.98691375,undefined
1651048385000,undefined,38.0818611
1651051978000,0.98691379,undefined
1651051979000,undefined,38.1425086
1651055581000,0.98691382,38.2490255
1651059185000,0.98691374,38.1369578
1651062795000,0.98691378,38.1662372
1651066389000,0.98691384,38.3136551
1651069991000,0.98691385,38.5068621
1651073595000,0.9869139,undefined
1651073596000,undefined,38.5409393
1651077205000,0.98691398,38.702021
1651080799000,0.98691407,38.9395917
1651084401000,0.98691401,38.8995102
1651088005000,0.98691398,38.709908
1651091615000,0.98691391,38.5567091
1651095209000,0.98691384,38.3109543
1651098811000,0.9869137,38.1393524
1651102415000,0.98691369,37.9082422
1651106025000,0.9869136,37.6787064
1651109619000,0.98691347,37.4537403
1651113221000,0.98691338,37.1369787
1651116825000,0.98691327,36.8103859
1651120435000,0.98691317,36.517565
1651124027000,0.98691318,36.4259938
1651127627000,0.9869131,36.4068462
1651134331000,0.98691362,37.7726059
1651142202000,0.98691389,38.2643419
1651147116000,0.98691379,38.1320758
1651150980000,0.98691383,38.1766691
1651270423000,0.98691396,38.5699933
1651274029000,0.9869139,38.4475621
1651277635000,0.98691384,38.2377653
1651281242000,0.98691376,38.0094982
1651284848000,0.98691366,37.7906183
1651288455000,0.98691356,37.5902785
1651292061000,0.9869135,37.4013497
1651295667000,0.98691344,37.1885452
1651299274000,0.9869134,37.0496831
1651302880000,0.98691368,undefined
1651302881000,undefined,37.6892143
1651306486000,0.98691372,undefined
1651306487000,undefined,37.9854779
1651310094000,0.98691376,37.9720444
1651313700000,0.98691373,37.9482508
1651317307000,0.98691375,37.9899893
1651320913000,0.98691381,38.0590414
1651324519000,0.9869138,38.2098419
1651328126000,0.98691386,38.3958465
1651331732000,0.98691398,38.6091017
1651335338000,0.98691399,38.6653961
1651338945000,0.98691399,38.6569875
1651360480000,0.98691372,37.9540332
1651364086000,0.98691366,37.7814588
1651367693000,0.98691359,37.5940332
1651371299000,0.98691357,37.4302455
1651374905000,0.9869135,37.263987
1651378512000,0.98691341,37.1235451
1651382118000,0.98691336,undefined
1651382119000,undefined,37.013802
1651385724000,0.98691339,37.0772323
1651389332000,0.98691343,37.0872927
1651392938000,0.98691353,37.3699007
1651396544000,0.9869136,37.4963034
1651400151000,0.98691356,37.6488988
1651403757000,0.98691368,37.8482701
1651407364000,0.98691379,38.0281139
1651410970000,0.98691388,38.3484091
1651414576000,0.98691394,38.5583561
1651418183000,0.98691395,38.5567758
1651421789000,0.98691397,38.6034752
1651425395000,0.98691399,38.6164491
1651429002000,0.98691401,38.6977497
1651432608000,0.98691397,38.5967863
1651436215000,0.98691394,38.4238494
1651439821000,0.98691388,38.382707
1651443287000,0.98691389,undefined
1651443288000,undefined,38.2951918
1651446887000,0.98691377,undefined
1651446888000,undefined,38.1972337
1651450487000,0.9869137,undefined
1651450488000,undefined,37.9923854
1651454087000,0.98691361,undefined
1651454088000,undefined,37.7629914
1651457688000,0.98691354,37.5109422
1651461288000,0.98691343,37.2554978
1651464888000,0.98691333,36.9900039
1651468488000,0.98691324,36.7481589
1651472088000,0.98691344,37.1385583
1651476840000,0.98691365,37.7186314
1651480446000,0.9869137,37.8562241
1651484052000,0.98691377,38.0812585
1651487659000,0.98691391,38.3046497
1651491265000,0.98691398,38.5624079
1651494872000,0.98691407,38.8084613
1651498478000,0.98691413,39.094604
1651502084000,0.9869142,39.2387988
1651505691000,0.98691422,39.3359258
1651509297000,0.98691432,39.4317095
1651512903000,0.98691431,39.52411
1651516510000,0.98691432,39.4839476
1651520116000,0.9869142,39.1945865
1651523724000,0.98691413,39.0657748
1651527330000,0.98691413,38.9793087
1651530936000,0.9869141,38.9923666
1651534543000,0.9869141,38.9598628
1651538149000,0.98691403,38.7616962
1651541756000,0.98691397,38.5805731
1651545362000,0.98691389,38.4074038
1651548968000,0.98691385,38.2688461
1651552575000,0.9869138,38.1025773
1651556181000,0.98691377,38.0073293
1651559647000,0.98691388,38.2811552
1651563247000,0.98691403,38.7618509
1651566847000,0.98691412,38.9167775
1651570447000,0.9869141,38.963692
1651577829000,0.98691414,39.0825936
1651581435000,0.98691425,39.3314951
1651585042000,0.98691428,39.329094
1651588648000,0.98691431,39.5497816
1651592254000,0.98691442,39.7444106
1651595862000,0.98691437,39.7497439
1651599468000,0.98691441,39.6947305
1651603074000,0.98691429,39.4897323
1651606681000,0.98691403,38.731901
1651610287000,0.98691408,38.8267782
1651613894000,0.98691401,38.721166
1651617500000,0.98691393,38.5011602
1651621106000,0.98691385,38.2795773
1651624713000,0.98691382,38.1890484
1651628319000,0.98691373,38.0001908
1651631925000,0.98691363,37.756089
1651635532000,0.98691357,37.4927791
1651639138000,0.98691347,37.2608251
1651642744000,0.98691349,37.2892086
1651646351000,0.98691374,37.7649536
1651649957000,0.98691389,38.2319175
1651653564000,0.98691393,38.4694065
1651657170000,0.98691393,38.5805756
1651660637000,0.98691397,38.6181084
1651664237000,0.98691402,38.7565202
1651667837000,0.98691412,39.045364
1651671437000,0.98691415,39.2038895
1651675037000,0.98691404,39.0265192
1651678637000,0.98691422,39.3284992
1651682237000,0.98691425,39.4383842
1651685837000,0.98691417,39.2674665
1651689437000,0.98691407,39.0047528
1651693037000,0.98691413,39.0476919
1651696637000,0.98691412,39.2779715
1651700237000,0.98691424,39.3690292
1651707981000,0.98691408,38.976154
1651711587000,0.986914,38.8163413
1651715193000,0.98691396,38.5606111
1651718800000,0.98691387,38.2832497
1651722406000,0.98691376,37.9917896
1651726013000,0.98691367,37.7644996
1651729619000,0.98691364,37.7443763
1651733225000,0.98691369,37.8780712
1651736832000,0.98691394,38.486751
1651740438000,0.98691404,38.7879006
1651744044000,0.98691406,38.8802222
1651747652000,0.98691412,39.0096302
1651751257000,0.98691419,undefined
1651751258000,undefined,39.1810742
1651754865000,0.98691426,39.4177424
1651758471000,0.98691421,39.2762512
1651762077000,0.98691421,39.2673198
1651765684000,0.98691416,39.1585563
1651769290000,0.98691421,39.2226591
1651772896000,0.98691432,39.5151055
1651789604000,0.98691267,35.3258025
1651793210000,0.98691249,35.0898772
1651796817000,0.98691248,34.8989217
1651800424000,0.98691238,34.6765155
1651804029000,0.98691237,34.4577863
1651807637000,0.98691224,34.2390552
1651811243000,0.98691218,34.0766951
1651814849000,0.98691225,34.118661
1651818456000,0.98691231,undefined
1651818457000,undefined,34.449532
1651822062000,0.98691244,34.7728193
1651825669000,0.98691245,34.8288888
1651829275000,0.98691256,35.0209017
1651832881000,0.98691268,35.3977124
1651836488000,0.98691274,35.5189358
1651840094000,0.98691277,35.7250561
1651843700000,0.98691286,35.9212661
1651847307000,0.98691293,36.0873089
1651850913000,0.98691297,36.1826398
1651854520000,0.98691297,36.1756584
1651858126000,0.98691296,36.1209377
1651861732000,0.98691299,36.2686568
1651865339000,0.98691311,36.5032259
1651868945000,0.98691312,36.6532745
1651873798000,0.98691295,36.1755818
1651877405000,0.98691295,36.1141769
1651881011000,0.98691289,35.8921466
1651884618000,0.98691281,35.6963093
1651888224000,0.98691276,35.504529
1651891831000,0.98691268,35.3267777
1651895437000,0.9869126,35.162094
1651899043000,0.98691256,35.0172243
1651902650000,0.98691255,34.8343048
1651906256000,0.9869125,34.8324973
1651909862000,0.98691255,35.0279544
1651913469000,0.98691262,35.1349213
1651917075000,0.98691254,35.0002559
1651920682000,0.98691272,35.2982542
1651924288000,0.98691287,35.7593645
1651927894000,0.98691296,36.1367028
1651931501000,0.98691308,36.4291422
1651935107000,0.98691306,36.3655669
1651938713000,0.98691297,36.1873632
1651942320000,0.98691299,35.986726
1651945926000,0.98691297,35.8924514
1651949533000,0.98691285,35.6732693
1651953139000,0.98691287,35.8713558
1651956606000,0.98691295,35.9257047
1651960206000,0.98691288,35.8541645
1651963806000,0.98691288,35.8153582
1651967406000,0.98691271,35.5622517
1651971006000,0.98691267,35.3655144
1651974606000,0.98691258,35.1650216
1651978206000,0.98691255,34.997787
1651981806000,0.98691244,34.8223642
1651988612000,0.98691221,34.0280566
1651992218000,0.98691234,34.3745444
1651995824000,0.98691254,undefined
1651995825000,undefined,34.9893047
1651999432000,0.98691256,34.9577745
1652003038000,0.9869125,34.8223669
1652006645000,0.98691247,34.8125278
1652010251000,0.98691256,34.932558
1652013857000,0.98691262,35.0949186
1652017464000,0.98691271,35.2788954
1652021070000,0.98691273,35.4636973
1652024676000,0.98691274,35.5377063
1652028283000,0.98691284,35.706295
1652031889000,0.9869129,35.8806615
1652035496000,0.98691298,36.1043465
1652039102000,0.98691288,35.8413349
1652042708000,0.98691287,35.8217423
1652046315000,0.98691286,35.7854096
1652049921000,0.98691279,35.6240246
1652053527000,0.98691273,35.4095779
1652057134000,0.98691266,35.1748551
1652060740000,0.98691257,34.9657375
1652064348000,0.98691247,34.7337937
1652067953000,0.9869124,34.505528
1652071420000,0.98691232,34.1946934
1652076816000,0.98691225,33.9963803
1652080422000,0.98691257,34.7492606
1652084028000,0.98691261,35.063838
1652087635000,0.98691276,35.5483658
1652091241000,0.98691293,35.9142179
1652094848000,0.98691301,undefined
1652094849000,undefined,36.0338677
1652098455000,0.98691297,36.0371657
1652102061000,0.98691304,36.2401394
1652105668000,0.98691316,36.4706562
1652109274000,0.98691325,36.6405188
1652112880000,0.98691322,36.6559818
1652116487000,0.98691322,36.7025954
1652120093000,0.98691322,36.6217539
1652123700000,0.98691312,36.4234348
1652127306000,0.98691309,36.454815
1652130912000,0.98691308,36.3091952
1652134519000,0.98691308,36.3305112
1652138125000,0.98691313,36.3524269
1652141731000,0.98691312,36.29598
1652145338000,0.98691306,36.178362
1652148944000,0.98691298,36.0275606
1652152551000,0.98691295,35.8705314
1652156157000,0.98691287,35.724986
1652159624000,0.98691259,34.9667054
1652163758000,0.98691256,34.7122485
1652167364000,0.98691254,34.7748528
1652170970000,0.98691271,35.1775639
1652174578000,0.98691293,35.7213106
1652178183000,0.98691308,undefined
1652178184000,undefined,36.307916
1652181791000,0.98691332,36.925902
1652185397000,0.98691346,37.2545287
1652189003000,0.98691355,37.5447146
1652192610000,0.98691367,37.7749354
1652196216000,0.98691374,37.9183017
1652199822000,0.98691371,37.9219099
1652203429000,0.98691368,37.9650656
1652207035000,0.98691367,37.9092197
1652210642000,0.9869136,37.8388041
1652220686000,0.98691364,37.6371959
1652224292000,0.98691351,37.4533654
1652227899000,0.98691342,37.2254739
1652231505000,0.98691338,37.0290438
1652235111000,0.98691332,36.8870268
1652238718000,0.98691324,36.733667
1652242324000,0.98691325,36.5802459
1652245930000,0.98691294,35.9955828
1652249537000,0.98691281,35.5672068
1652253143000,0.98691292,35.6241047
1652256750000,0.98691292,35.7458559
1652312528000,0.98691386,38.3511126
1652316134000,0.98691384,38.3301685
1652319740000,0.98691376,38.1749397
1652323347000,0.98691376,38.1133928
1652326953000,0.98691371,37.9290398
1652330560000,0.98691358,37.6109959
1652334166000,0.98691316,36.4196091
1652337772000,0.98691294,35.9195478
1652341379000,0.98691294,35.8965772
1652344985000,0.986913,36.0079725
1652348591000,0.98691309,36.1475145
1652352198000,0.9869131,36.2647609
1652355804000,0.98691313,36.5190664
1652359411000,0.98691328,36.7789337
1652363017000,0.98691339,37.1141602
1652366623000,0.9869134,37.1491394
1652370230000,0.98691342,37.1543963
1652373836000,0.98691337,37.1664737
1652377443000,0.98691338,undefined
1652377444000,undefined,37.1132591
1652384718000,0.98691327,36.8031043
